class,precision,recall,f1,support
Kişisel Yorum / Gözlem,0.7093525179856115,0.8175787728026535,0.7596302003081664,603
Şikayet / Memnuniyetsizlik,0.5336048879837068,0.8264984227129337,0.6485148514851485,317
Hakaret / Aşağılama,0.7692307692307693,0.8,0.7843137254901961,250
Kamuoyu Bilgilendirmesi / Uyarı,0.6885964912280702,0.7440758293838863,0.715261958997722,211
Spam / Tanıtım,0.987012987012987,1.0,0.9934640522875817,152
Talep,0.5337837837837838,0.7383177570093458,0.6196078431372549,107
Dolandırıcılık / Sahte Kampanya,1.0,1.0,1.0,84
Tehdit,0.6701030927835051,0.9154929577464789,0.7738095238095238,71
Mizah / Alay,0.20454545454545456,0.35294117647058826,0.2589928057553957,51
Taciz,0.6056338028169014,0.9555555555555556,0.7413793103448276,45
